id,screen_name,created_at,fav,rt,RTed,text,media1,media2,media3,media4,compound,neg,neu,pos
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676813324737187840"", ""1676813324737187840"")",TheMorningLK,2023-07-06 04:40:24,0,0,,https://t.co/jDRFIfIm9v,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676811624391524353"", ""1676811624391524353"")",TheMorningLK,2023-07-06 04:33:39,0,0,,https://t.co/2UGKLDdemu,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676805863590477824"", ""1676805863590477824"")",TheMorningLK,2023-07-06 04:10:46,1,0,,https://t.co/yP5TWjV1qx,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676796020490125312"", ""1676796020490125312"")",TheMorningLK,2023-07-06 03:31:39,0,0,,https://t.co/lElsmxeyvc,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676795495895932928"", ""1676795495895932928"")",TheMorningLK,2023-07-06 03:29:34,0,0,,https://t.co/O7JMeTJnAX,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676793641275392000"", ""1676793641275392000"")",TheMorningLK,2023-07-06 03:22:12,0,0,,https://t.co/6r2PeiczRb,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676793567610810368"", ""1676793567610810368"")",TheMorningLK,2023-07-06 03:21:54,1,0,,https://t.co/WlcAuVsh8g,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676793486270689281"", ""1676793486270689281"")",TheMorningLK,2023-07-06 03:21:35,1,0,,https://t.co/rjU0n09cEV,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676793264874356737"", ""1676793264874356737"")",TheMorningLK,2023-07-06 03:20:42,0,0,,https://t.co/6R4KoxmbcV,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676793119764004864"", ""1676793119764004864"")",TheMorningLK,2023-07-06 03:20:07,0,0,,https://t.co/G2Pdsx20h8,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676793030521815045"", ""1676793030521815045"")",TheMorningLK,2023-07-06 03:19:46,0,0,,https://t.co/4rGBkce4nx,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676570773933400064"", ""1676570773933400064"")",TheMorningLK,2023-07-05 12:36:36,0,0,,https://t.co/TokKjL0lq9,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676525014554902529"", ""1676525014554902529"")",TheMorningLK,2023-07-05 09:34:46,0,0,,https://t.co/jySvZI54tc,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676516788925001728"", ""1676516788925001728"")",TheMorningLK,2023-07-05 09:02:05,0,0,,https://t.co/w703nYzI3q,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676513124856504320"", ""1676513124856504320"")",TheMorningLK,2023-07-05 08:47:31,0,0,,https://t.co/JGhGn2bAFS,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676508568290496513"", ""1676508568290496513"")",TheMorningLK,2023-07-05 08:29:25,0,0,,https://t.co/zwyoreGrqV,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676434366057320450"", ""1676434366057320450"")",TheMorningLK,2023-07-05 03:34:34,3,0,,https://t.co/3GMl5PtDe4,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676431918701887489"", ""1676431918701887489"")",TheMorningLK,2023-07-05 03:24:50,0,0,,https://t.co/GUFruyPaZW,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676419243422920706"", ""1676419243422920706"")",TheMorningLK,2023-07-05 02:34:28,0,0,,https://t.co/5RnF8NodhL,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676419180256694272"", ""1676419180256694272"")",TheMorningLK,2023-07-05 02:34:13,0,0,,https://t.co/58hplpFmAy,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676419088804102144"", ""1676419088804102144"")",TheMorningLK,2023-07-05 02:33:51,0,0,,https://t.co/ijDz7SHG4s,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676419003185790976"", ""1676419003185790976"")",TheMorningLK,2023-07-05 02:33:31,0,0,,https://t.co/misDEWygTo,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676418854984257536"", ""1676418854984257536"")",TheMorningLK,2023-07-05 02:32:56,0,0,,https://t.co/0zxRC2wZhQ,,,,,0.0,0.0,1.0,0.0
